"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm","beyond_5", "beyond_6", "beyond_7", "beyond_8", "beyond_9"
0,5.464817191873278,9.198181408899964,3.9378621628713963,6.568021785885681,0.5051601776689509,12.012975692749023,5.094372471173604,1.330108642578125,5.320137659708659,1.0726457834243774,0.5174259403384752,0.1803151215928883,0.4865439537689411,0.28765546716702073,0,0,0,0,0
1,6.040411986410618,9.29605652084358,5.4371705906483605,7.366613555745974,0.5821017787521864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4.995706072220435,9.092470703684231,3.820933885398644,6.456702294541438,0.5220630984373759,0,0,0,0,0,0,0,0,0,15.763924598693848,15.763924598693848,15.763924598693848,0,0
3,5.353297901153565,9.091473158583947,4.013612705815228,6.552542932199588,0.5430210007755119,0,0,0,0,0,0,0,0,0,13.459367752075195,0,0,0,0
4,4.899591018171871,9.072385592709132,3.2173423637676755,6.144863978238406,0.5122465400202227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4.809181262465084,9.059936210928893,2.0745802098800614,5.567258210404477,0.5313412536362065,11.466048240661621,5.509902397791545,1.4613847732543945,4.358245104551315,4.615907669067383,0.5970960023736621,0.19811146597213708,0.5013504500338907,0.6090192821909043,0,0,0,0,0
6,6.197531018938337,9.358177273444687,3.7428673368629575,6.550522305153823,0.6557172107576027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.546487430642758,9.9328729316465,5.823973893903193,7.878423412774847,0.5796572525771592,12.012975692749023,8.113110701243082,1.2632430791854858,7.559474794814984,1.7428557872772217,0.5641797945077326,0.1712505446045371,0.5878508496795516,0.4673882128110002,16.70410484696428,18.51623741723597,18.51623741723597,18.51623741723597,18.51623741723597
8,5.887107707560062,9.278660630851318,3.3853494171272946,6.332005023989305,0.5871648709810255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5.212800181829012,9.087265245260722,3.7851346198936104,6.436199932577165,0.5286248856647482,12.012975692749023,4.635742584864299,1.5853248834609985,5.03260925412178,1.8535170555114746,0.49166338686484107,0.21491330856359825,0.5276832604558848,0.49706466267275756,0,0,0,0,0
10,5.145354603018079,9.137633465309955,3.0158722305390406,6.076752847924499,0.48890992448945453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5.789098673633167,9.015155827177322,4.787895561431583,6.9015256943044525,0.5465166829118867,0,0,0,0,0,0,0,0,0,15.563861846923828,15.563861846923828,15.563861846923828,0,0
12,5.880095791816712,9.277354024527446,3.4486857338567565,6.3630198791921,0.533266069024173,0,0,0,0,0,0,0,0,0,13.50124740600586,0,0,0,0
13,4.962239888310433,8.942732503759183,3.4252180973626984,6.183975300560943,0.5173483446084503,0,0,0,0,0,0,0,0,0,17.012128829956055,17.012128829956055,17.012128829956055,17.012128829956055,17.012128829956055
14,6.563842894939276,9.395890522866338,4.871628363641321,7.13375944325383,0.5637760085350709,12.012975692749023,5.886233965555827,1.485197901725769,6.771635267883539,11.215823203325272,0.5143988742081799,0.20133967381800164,0.5779747317096066,0.5478061768188252,13.75098991394043,15.09376335144043,15.09376335144043,0,0
