"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm","beyond_5", "beyond_6", "beyond_7", "beyond_8", "beyond_9"
0,7.783425681731281,7.594301721993539,8.855511692655437,8.224906707324488,0.8917398117206673,8.227356910705566,6.450012922286987,7.567905902862549,8.247538371519608,8.898419380187988,0.6257383454959358,1.0259371523465959,0.9928073873460567,2.3863227016885085,14.840290069580078,14.840290069580078,0,0,0
1,8.280785237039838,8.961874992500922,9.215017307576696,9.08844615003881,0.9278983615323061,0,0,0,0,0,0,0,0,0,17.006340344746906,24.599138259887695,24.599138259887695,24.599138259887695,24.599138259887695
2,6.913445850213368,7.110912131819558,8.844852156214289,7.977882144016926,0.794516720883381,0,0,0,0,0,0,0,0,0,15.088274002075195,15.088274002075195,15.088274002075195,0,0
3,7.383796901575157,9.001252192639289,8.10800160677839,8.55462689970884,0.9197031876353978,0,0,0,0,0,0,0,0,0,20.26630973815918,20.26630973815918,20.26630973815918,20.26630973815918,20.26630973815918
4,7.534037057091208,7.298851283978251,5.45773960052301,6.3782954422506295,0.8758827601019068,0,0,0,0,0,0,0,0,0,16.64509113629659,16.64509113629659,20.717804193496704,20.717804193496704,20.717804193496704
5,8.512248121775114,9.024158278831555,10.202048987682836,9.613103633257197,1.0248348611573372,10.729805946350098,7.198630750179291,7.1634321212768555,9.138780644961766,16.981117248535156,0.6774969867969516,0.9711049854294668,1.2073232771710996,1.3128436418906604,16.12814235687256,16.12814235687256,16.12814235687256,16.981117248535156,0
6,7.591358584468253,7.09964823236952,8.226564480772044,7.663106356570782,0.9313572125532836,0,0,0,0,0,0,0,0,0,16.968297123908997,16.968297123908997,16.968297123908997,18.485785722732544,18.485785722732544
7,6.196881294250488,6.958139309749459,7.598189771859564,7.278164540804511,0.6880444268581128,8.227356910705566,4.886133444309235,7.00308895111084,6.568586891889572,7.212324142456055,0.4849177864995176,0.9493681909304594,0.7612993129045487,1.9341561796242726,13.644964218139648,0,0,0,0
8,7.611825621128082,6.98134860679981,8.874993430769539,7.928171018784675,0.9484378993060598,0,0,0,0,0,0,0,0,0,15.493325551350912,15.493325551350912,15.493325551350912,0,0
9,7.8882815797741594,7.70130210090151,8.462792316915992,8.082047208908753,0.8342922859759351,8.227356910705566,7.5925062000751495,7.456454753875732,8.070546296026025,8.387184143066406,0.672755820317141,1.010828365862604,0.9191632952059435,2.2492228191000834,15.604457914829254,15.604457914829254,15.604457914829254,0,0
