subject,gender,age,recall,n2,n3,n4,survey,order,condition,subdesign,structure,distance,item,raw.judgment,zscores
1,F,19,2.2,2.48,1.81,0.67,2a,32,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.03,75,-0.827690602
1,F,19,2.2,2.48,1.81,0.67,2a,54,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.07,30,-1.096939352
1,F,19,2.2,2.48,1.81,0.67,2a,77,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.11,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,22,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.15,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,26,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.04,215,0.009972176
1,F,19,2.2,2.48,1.81,0.67,2a,58,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.08,200,-0.079777407
1,F,19,2.2,2.48,1.81,0.67,2a,73,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.12,110,-0.618274908
1,F,19,2.2,2.48,1.81,0.67,2a,1,ADJ.isl.ma,adj,island,matrix,ADJ.isl.ma.16,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,15,ADJ.non.em,adj,non,embedded,ADJ.non.em.01,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,41,ADJ.non.em,adj,non,embedded,ADJ.non.em.05,81,-0.791790769
1,F,19,2.2,2.48,1.81,0.67,2a,51,ADJ.non.em,adj,non,embedded,ADJ.non.em.09,95,-0.708024491
1,F,19,2.2,2.48,1.81,0.67,2a,84,ADJ.non.em,adj,non,embedded,ADJ.non.em.13,200,-0.079777407
1,F,19,2.2,2.48,1.81,0.67,2a,20,ADJ.non.ma,adj,non,matrix,ADJ.non.ma.02,200,-0.079777407
1,F,19,2.2,2.48,1.81,0.67,2a,36,ADJ.non.ma,adj,non,matrix,ADJ.non.ma.06,300,0.518553148
1,F,19,2.2,2.48,1.81,0.67,2a,65,ADJ.non.ma,adj,non,matrix,ADJ.non.ma.10,110,-0.618274908
1,F,19,2.2,2.48,1.81,0.67,2a,80,ADJ.non.ma,adj,non,matrix,ADJ.non.ma.14,95,-0.708024491
1,F,19,2.2,2.48,1.81,0.67,2a,16,agr.pl,agr,pl,,agr.pl.01,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,45,agr.pl,agr,pl,,agr.pl.05,210,-0.019944352
1,F,19,2.2,2.48,1.81,0.67,2a,70,agr.pl,agr,pl,,agr.pl.09,505,1.745130787
1,F,19,2.2,2.48,1.81,0.67,2a,91,agr.pl,agr,pl,,agr.pl.13,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,4,agr.sg,agr,sg,,agr.sg.02,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,38,agr.sg,agr,sg,,agr.sg.06,600,2.313544815
1,F,19,2.2,2.48,1.81,0.67,2a,50,agr.sg,agr,sg,,agr.sg.10,110,-0.618274908
1,F,19,2.2,2.48,1.81,0.67,2a,96,agr.sg,agr,sg,,agr.sg.14,215,0.009972176
1,F,19,2.2,2.48,1.81,0.67,2a,23,CE.all,ce,all,,CE.all.02,200,-0.079777407
1,F,19,2.2,2.48,1.81,0.67,2a,48,CE.all,ce,all,,CE.all.06,225,0.069805231
1,F,19,2.2,2.48,1.81,0.67,2a,55,CE.all,ce,all,,CE.all.10,110,-0.618274908
1,F,19,2.2,2.48,1.81,0.67,2a,75,CE.all,ce,all,,CE.all.14,300,0.518553148
1,F,19,2.2,2.48,1.81,0.67,2a,18,CE.vp1,ce,vp1,,CE.vp1.01,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,25,CE.vp1,ce,vp1,,CE.vp1.05,105,-0.648191435
1,F,19,2.2,2.48,1.81,0.67,2a,61,CE.vp1,ce,vp1,,CE.vp1.09,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,85,CE.vp1,ce,vp1,,CE.vp1.13,45,-1.007189769
1,F,19,2.2,2.48,1.81,0.67,2a,29,CE.vp2,ce,vp2,,CE.vp2.04,30,-1.096939352
1,F,19,2.2,2.48,1.81,0.67,2a,64,CE.vp2,ce,vp2,,CE.vp2.08,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,9,CE.vp2,ce,vp2,,CE.vp2.12,300,0.518553148
1,F,19,2.2,2.48,1.81,0.67,2a,82,CE.vp2,ce,vp2,,CE.vp2.16,105,-0.648191435
1,F,19,2.2,2.48,1.81,0.67,2a,42,CE.vp3,ce,vp3,,CE.vp3.03,20,-1.156772408
1,F,19,2.2,2.48,1.81,0.67,2a,53,CE.vp3,ce,vp3,,CE.vp3.07,45,-1.007189769
1,F,19,2.2,2.48,1.81,0.67,2a,7,CE.vp3,ce,vp3,,CE.vp3.11,110,-0.618274908
1,F,19,2.2,2.48,1.81,0.67,2a,90,CE.vp3,ce,vp3,,CE.vp3.15,95,-0.708024491
1,F,19,2.2,2.48,1.81,0.67,2a,19,ILL.non,ill,non,,ILL.non.02,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,39,ILL.non,ill,non,,ILL.non.06,85,-0.767857546
1,F,19,2.2,2.48,1.81,0.67,2a,60,ILL.non,ill,non,,ILL.non.10,215,0.009972176
1,F,19,2.2,2.48,1.81,0.67,2a,92,ILL.non,ill,non,,ILL.non.14,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,13,ILL.rep,ill,rep,,ILL.rep.02,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,27,ILL.rep,ill,rep,,ILL.rep.06,300,0.518553148
1,F,19,2.2,2.48,1.81,0.67,2a,52,ILL.rep,ill,rep,,ILL.rep.10,50,-0.977273241
1,F,19,2.2,2.48,1.81,0.67,2a,78,ILL.rep,ill,rep,,ILL.rep.14,210,-0.019944352
1,F,19,2.2,2.48,1.81,0.67,2a,28,NP.isl.em,np,island,embedded,NP.isl.em.03,50,-0.977273241
1,F,19,2.2,2.48,1.81,0.67,2a,68,NP.isl.em,np,island,embedded,NP.isl.em.07,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,79,NP.isl.em,np,island,embedded,NP.isl.em.11,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,6,NP.isl.em,np,island,embedded,NP.isl.em.15,275,0.368970509
1,F,19,2.2,2.48,1.81,0.67,2a,40,NP.isl.ma,np,island,matrix,NP.isl.ma.04,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,66,NP.isl.ma,np,island,matrix,NP.isl.ma.08,95,-0.708024491
1,F,19,2.2,2.48,1.81,0.67,2a,74,NP.isl.ma,np,island,matrix,NP.isl.ma.12,200,-0.079777407
1,F,19,2.2,2.48,1.81,0.67,2a,8,NP.isl.ma,np,island,matrix,NP.isl.ma.16,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,14,NP.non.em,np,non,embedded,NP.non.em.01,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,33,NP.non.em,np,non,embedded,NP.non.em.05,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,71,NP.non.em,np,non,embedded,NP.non.em.09,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,86,NP.non.em,np,non,embedded,NP.non.em.13,50,-0.977273241
1,F,19,2.2,2.48,1.81,0.67,2a,24,NP.non.ma,np,non,matrix,NP.non.ma.02,275,0.368970509
1,F,19,2.2,2.48,1.81,0.67,2a,30,NP.non.ma,np,non,matrix,NP.non.ma.06,300,0.518553148
1,F,19,2.2,2.48,1.81,0.67,2a,63,NP.non.ma,np,non,matrix,NP.non.ma.10,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,94,NP.non.ma,np,non,matrix,NP.non.ma.14,95,-0.708024491
1,F,19,2.2,2.48,1.81,0.67,2a,81,SUB.isl.em,sub,island,embedded,SUB.isl.em.03,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,17,SUB.isl.em,sub,island,embedded,SUB.isl.em.07,25,-1.12685588
1,F,19,2.2,2.48,1.81,0.67,2a,44,SUB.isl.em,sub,island,embedded,SUB.isl.em.11,25,-1.12685588
1,F,19,2.2,2.48,1.81,0.67,2a,62,SUB.isl.em,sub,island,embedded,SUB.isl.em.15,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,76,SUB.isl.ma,sub,island,matrix,SUB.isl.ma.04,100,-0.678107963
1,F,19,2.2,2.48,1.81,0.67,2a,11,SUB.isl.ma,sub,island,matrix,SUB.isl.ma.08,575,2.163962176
1,F,19,2.2,2.48,1.81,0.67,2a,34,SUB.isl.ma,sub,island,matrix,SUB.isl.ma.12,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,57,SUB.isl.ma,sub,island,matrix,SUB.isl.ma.16,205,-0.04986088
1,F,19,2.2,2.48,1.81,0.67,2a,69,SUB.non.em,sub,non,embedded,SUB.non.em.01,445,1.386132454
1,F,19,2.2,2.48,1.81,0.67,2a,87,SUB.non.em,sub,non,embedded,SUB.non.em.05,50,-0.977273241
1,F,19,2.2,2.48,1.81,0.67,2a,3,SUB.non.em,sub,non,embedded,SUB.non.em.09,500,1.71521426
1,F,19,2.2,2.48,1.81,0.67,2a,47,SUB.non.em,sub,non,embedded,SUB.non.em.13,305,0.548469676
1,F,19,2.2,2.48,1.81,0.67,2a,72,SUB.non.ma,sub,non,matrix,SUB.non.ma.02,115,-0.58835838
