"#Data from Sprouse, Jon, Carson T. Schütze, & Diogo Almeida. 2013. A comparison of informal and formal acceptability judgments using a random sample from Linguistic Inquiry 2001-2010. Lingua 134: 219-248.",,,,,,
#This data is provided in the spirit of open science so that other researchers can verify the analyses.,,,,,,
#Please contact Jon Sprouse if you would like to discuss the possibility of using this data set for novel research.,,,,,,
"#If you are using R to read this file, try adding skip=5 to the read function.",,,,,,
,,,,,,
participant,survey,order,judgment,item,condition,zscores
1,1.1,7,35,34.1.fox.26.*.03,34.1.fox.26.*,-0.983439703
1,1.1,8,105,35.3.richards.17b.*.07,35.3.richards.17b.*,-0.00140291
1,1.1,9,180,32.1.martin.69a.g.02,32.1.martin.69a.g,1.050779369
1,1.1,10,99,41.3.Vicente.5a.*.05,41.3.Vicente.5a.*,-0.085577492
1,1.1,11,200,32.2.nunes.3a.g.02,32.2.nunes.3a.g,1.33136131
1,1.1,12,40,33.1.fox.65b.*.05,33.1.fox.65b.*,-0.913294218
1,1.1,13,32,41.3.Vicente.4a3.*.07,41.3.Vicente.4a3.*,-1.025526994
1,1.1,14,100,41.4.Haegeman.18a.g.08,41.4.Haegeman.18a.g,-0.071548395
1,1.1,15,75,33.1.denDikken.58a.g.04,33.1.denDikken.58a.g,-0.422275821
1,1.1,16,150,34.1.basilico.96b.g.08,34.1.basilico.96b.g,0.629906457
1,1.1,17,200,33.2.bowers.69a.g.02,33.2.bowers.69a.g,1.33136131
1,1.1,18,140,41.1.Muller.14c.g.02,41.1.Muller.14c.g,0.489615487
1,1.1,19,100,41.3.Rezac.3b2.*.03,41.3.Rezac.3b2.*,-0.071548395
1,1.1,20,200,37.3.becker.5a.g.02,37.3.becker.5a.g,1.33136131
1,1.1,21,89,33.2.bowers.69b.*.01,33.2.bowers.69b.*,-0.225868462
1,1.1,22,5,32.2.stroik.17a.*.01,32.2.stroik.17a.*,-1.404312614
1,1.1,23,180,37.2.Sigurdsson.2a.g.08,37.2.Sigurdsson.2a.g,1.050779369
1,1.1,24,3,34.3.takano.9e.*.05,34.3.takano.9e.*,-1.432370808
1,1.1,25,65,41.2.Bruening.33a.g.06,41.2.Bruening.33a.g,-0.562566792
1,1.1,26,150,35.2.larson.44c.??.05,35.2.larson.44c.??,0.629906457
1,1.1,27,5,32.1.martin.2c.*.07,32.1.martin.2c.*,-1.404312614
1,1.1,28,15,41.4.Haegeman.4a.*.05,41.4.Haegeman.4a.*,-1.264021644
1,1.1,29,190,34.4.boskovic.3a.*.03,34.4.boskovic.3a.*,1.191070339
1,1.1,30,70,33.2.bowers.13a.*.05,33.2.bowers.13a.*,-0.492421306
1,1.1,31,190,40.1.stepanov.4a.g.06,40.1.stepanov.4a.g,1.191070339
1,1.1,32,200,40.1.caponigro.23cf.g.04,40.1.caponigro.23cf.g,1.33136131
1,1.1,33,200,33.4.neeleman.100.g.06,33.4.neeleman.100.g,1.33136131
1,1.1,34,55,32.3.fanselow.58b.*.01,32.3.fanselow.58b.*,-0.702857762
1,1.1,35,200,32.3.Culicover.28c.g.08,32.3.Culicover.28c.g,1.33136131
1,1.1,36,7,32.3.Culicover.49a.*.07,32.3.Culicover.49a.*,-1.37625442
1,1.1,37,25,34.2.caponigro.13b.*.05,34.2.caponigro.13b.*,-1.123730673
1,1.1,38,180,34.3.heycock.16.*.01,34.3.heycock.16.*,1.050779369
1,1.1,39,200,35.1.mcginnis.32b.g.02,35.1.mcginnis.32b.g,1.33136131
1,1.1,40,20,35.1.mcginnis.63b.*.07,35.1.mcginnis.63b.*,-1.193876159
1,1.1,41,2,35.1.bhatt.94a.*.03,35.1.bhatt.94a.*,-1.446399905
1,1.1,42,30,41.1.Muller.14c.*.01,41.1.Muller.14c.*,-1.053585188
1,1.1,43,200,33.1.fox.65b.g.06,33.1.fox.65b.g,1.33136131
1,1.1,44,5,32.2.nunes.3b.*.01,32.2.nunes.3b.*,-1.404312614
1,1.1,45,75,34.4.boskovic.4e.g.02,34.4.boskovic.4e.g,-0.422275821
1,1.1,46,200,35.2.larson.44c.g.06,35.2.larson.44c.g,1.33136131
1,1.1,47,200,35.1.mcginnis.63a.g.08,35.1.mcginnis.63a.g,1.33136131
1,1.1,48,99,32.2.stroik.4a.g.06,32.2.stroik.4a.g,-0.085577492
1,1.1,49,50,32.3.Culicover.28c.*.07,32.3.Culicover.28c.*,-0.773003247
1,1.1,50,100,41.3.Rezac.3b1.g.04,41.3.Rezac.3b1.g,-0.071548395
1,1.1,51,99,41.3.Vicente.5b.g.06,41.3.Vicente.5b.g,-0.085577492
1,1.1,52,20,37.1.boeckx.5.*.03,37.1.boeckx.5.*,-1.193876159
1,1.1,53,80,34.3.takano.9e.g.06,34.3.takano.9e.g,-0.352130336
1,1.1,54,150,34.1.basilico.96a.??.07,34.1.basilico.96a.??,0.629906457
1,1.1,55,15,34.1.basilico.44b.*.01,34.1.basilico.44b.*,-1.264021644
1,1.1,56,200,32.3.fanselow.59a.g.02,32.3.fanselow.59a.g,1.33136131
1,1.1,57,200,37.3.becker.5b.*.01,37.3.becker.5b.*,1.33136131
1,1.1,58,200,34.1.phillips.3d.g.06,34.1.phillips.3d.g,1.33136131
1,1.1,59,200,34.4.boskovic.4a.g.04,34.4.boskovic.4a.g,1.33136131
1,1.1,60,99,32.2.stroik.17a.g.02,32.2.stroik.17a.g,-0.085577492
1,1.1,61,80,41.3.Vicente.4a6.*.03,41.3.Vicente.4a6.*,-0.352130336
1,1.1,62,170,41.3.Vicente.4b6.g.04,41.3.Vicente.4b6.g,0.910488398
