"sentence_id","condition"
2,"WH"
3,"SUBJ"
4,"POLAR"
6,"WH"
7,"SUBJ"
8,"POLAR"
10,"WH"
11,"SUBJ"
12,"POLAR"
14,"WH"
15,"SUBJ"
16,"POLAR"
18,"WH"
19,"SUBJ"
20,"POLAR"
22,"WH"
23,"SUBJ"
24,"POLAR"
26,"WH"
27,"SUBJ"
28,"POLAR"
30,"WH"
31,"SUBJ"
32,"POLAR"
34,"WH"
35,"SUBJ"
36,"POLAR"
38,"WH"
39,"SUBJ"
40,"POLAR"
42,"WH"
43,"SUBJ"
44,"POLAR"
46,"WH"
47,"SUBJ"
48,"POLAR"
50,"WH"
51,"SUBJ"
52,"POLAR"
54,"WH"
55,"SUBJ"
56,"POLAR"
58,"WH"
59,"SUBJ"
60,"POLAR"
62,"WH"
63,"SUBJ"
64,"POLAR"
66,"WH"
67,"SUBJ"
68,"POLAR"
70,"WH"
71,"SUBJ"
72,"POLAR"
74,"WH"
75,"SUBJ"
76,"POLAR"
78,"WH"
79,"SUBJ"
80,"POLAR"
82,"WH"
83,"SUBJ"
84,"POLAR"
86,"WH"
87,"SUBJ"
88,"POLAR"
181,"FILL"
182,"FILL"
183,"FILL"
184,"FILL"
185,"FILL"
186,"FILL"
187,"FILL"
188,"FILL"
189,"FILL"
190,"FILL"
191,"FILL"
197,"UNGRAM"
198,"UNGRAM"
199,"UNGRAM"
200,"UNGRAM"
201,"UNGRAM"
202,"UNGRAM"
203,"UNGRAM"
204,"UNGRAM"
205,"UNGRAM"
206,"UNGRAM"
207,"UNGRAM"
