"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm","beyond_5", "beyond_6", "beyond_7", "beyond_8", "beyond_9"
2,5.479432480675833,11.315521193203876,2.354519883391783,6.835020538297833,0.5529393164823029,11.403925895690918,9.457350254058838,0.3557541072368622,4.683521958068013,0.3483928143978119,0.9357593363981754,0.048227522963272866,0.4681829744090031,0.09342981563149093,14.568067789077759,14.568067789077759,0,0,0
3,5.882783478746812,9.430182894891079,3.4190842069267475,6.424633550908912,0.5925879826879704,11.403939247131348,5.38086022707549,None,0,5.909043312072754,0.531432889768661,None,0,0.3806993615958774,0,0,0,0,0
4,5.442666500341147,9.559546587495051,3.092492880778464,6.326019734136758,0.5125053698145691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4.74133107252419,9.580380480128591,1.2038462784644801,5.392113379296535,0.45321599198902096,0,0,0,0,0,0,0,0,0,14.982044458389282,14.982044458389282,0,0,0
6,5.411936530045101,9.318767203355799,4.2791662462781135,6.798966724816957,0.5435810935355293,11.403939247131348,4.951013244115389,None,0,1.4338575601577759,0.488064715745926,None,0,0.38452299229797715,0,0,0,0,0
7,4.630735782640321,7.257466366085516,5.354027990829353,6.305747178457434,0.5167225106367213,8.865503311157227,5.639141529798508,3.0964865684509277,3.7889681197702885,3.9727330207824707,0.4781616176773444,0.41977274203613013,0.5171044554429569,0.33330865774618157,0,0,0,0,0
8,5.43654576142629,7.812472605161048,6.573942565459703,7.193207585310375,0.6067906954306785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6.736801023994174,12.427437939045054,2.8737588726604337,7.650598405852743,0.5762278498425676,0,0,0,0,0,0,0,0,0,17.56864595413208,17.56864595413208,17.56864595413208,19.560991287231445,19.560991287231445
10,7.412033883424906,11.320370533106988,4.067661778506128,7.694016155806558,0.704884482346646,11.403939247131348,9.457360982894897,0.35576534271240234,7.028081618249416,2.038276195526123,0.9357628681756803,0.04822904609158985,0.630335826885924,0.5466122184041764,14.489199002583822,15.074578285217285,15.336779594421387,0,0
11,6.569709296409901,12.401664429278544,2.0871712701920746,7.24441784973531,0.5413226330023062,11.403939247131348,19.560991287231445,4.799804210662842,4.964148610830307,0,1.0899842122029468,0.35810308151930587,0.43238129305073547,0,16.353943347930908,19.560991287231445,19.560991287231445,19.560991287231445,19.560991287231445
12,5.648201814469169,12.101577008670828,1.6315661383021431,6.866571573486487,0.587513109818981,0,0,0,0,0,0,0,0,0,18.169963836669922,18.169963836669922,18.169963836669922,18.169963836669922,18.169963836669922
13,6.577659533574031,12.467502477688923,2.9036655869671817,7.685584032328051,0.5588861544696331,0,0,0,0,0,0,0,0,0,15.900786876678467,18.169940948486328,18.169940948486328,18.169940948486328,18.169940948486328
14,7.196621796914509,7.30601145568097,9.133442334058909,8.219726894869941,0.7944020100325563,8.865500450134277,5.0116628259420395,6.179653167724609,8.20761252939701,11.558133125305176,0.4579595990150034,0.837739773031128,0.9608987406963644,3.099588172643646,13.381257057189941,0,0,0,0
15,6.500725044047131,10.157638863330455,3.407064418463064,6.78235164089676,0.6971986397359261,11.403925895690918,7.83771824836731,0.21976302564144135,6.281290173530579,1.8474452495574951,0.7901856851669223,0.029792000007871557,0.6822279413812996,0.49543636355926685,0,0,0,0,0
16,6.229851846893628,10.162587952002472,1.769086485744932,5.965837218873702,0.5677460859871392,0,0,0,0,0,0,0,0,0,17.183895111083984,17.183895111083984,17.183895111083984,17.183895111083984,17.183895111083984
