"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm","beyond_5", "beyond_6", "beyond_7", "beyond_8", "beyond_9"
0,7.783425681731281,7.594301721993539,8.855511692655437,8.224906707324488,0.8917398117206673,8.227356910705566,6.450012922286987,7.567905902862549,8.247538371519608,8.898419380187988,0.6257383454959358,1.0259371523465959,0.9928073873460567,2.3863227016885085,14.840290069580078,14.840290069580078,0,0,0
1,7.917299619210618,7.186562402687468,8.144370762537358,7.665466582612415,0.8560793336744567,0,0,0,0,0,0,0,0,0,17.57581515237689,17.57581515237689,17.57581515237689,17.57581515237689,17.57581515237689
2,7.459370195865631,7.0475763177687,10.626681157615366,8.837128737692032,0.8667333287742357,0,0,0,0,0,0,0,0,0,13.541195154190063,14.43899917602539,0,0,0
3,7.065786709310487,6.96998344846001,6.35317468915874,6.661579068809374,0.8281941641563126,0,0,0,0,0,0,0,0,0,16.25094000498454,16.25094000498454,17.217031478881836,17.217031478881836,18.230260848999023
4,7.070851578431971,7.145726214918551,6.442456990865579,6.794091602892064,0.7776173193030416,0,0,0,0,0,0,0,0,0,17.05018202463786,17.05018202463786,18.113281726837158,18.113281726837158,20.051392555236816
5,6.876630473136902,7.084501231953967,8.731605638876346,7.908053435415157,0.9045113210089237,8.227356910705566,6.713813364505768,8.050067901611328,6.668530980745952,13.014640808105469,0.6326323289678061,1.0913010607137648,1.0262260482704983,2.092305720455318,13.649683475494385,14.2847261428833,0,0,0
6,7.040367852896452,7.5634416763779555,9.415216886418289,8.489329281398124,0.8735233877495576,0,0,0,0,0,0,0,0,0,15.697513580322266,15.697513580322266,15.697513580322266,0,0
7,7.395590159628126,7.098985045775043,8.289148756030524,7.694066900902785,0.9006975010580963,8.227356910705566,6.777174413204193,7.232171058654785,7.546033104260762,10.309900283813477,0.6171471287178005,0.9804235248740666,1.0044781645988399,2.7648448615701384,14.212197621663412,14.640671730041504,0,0,0
8,8.074327592055003,7.013187482810423,7.335390926358772,7.174289204584599,0.937968680604763,0,0,0,0,0,0,0,0,0,18.39706325531006,18.39706325531006,26.218307495117188,26.218307495117188,26.218307495117188
9,7.494489988859962,7.271716211552881,7.372018361478481,7.321867286515681,0.7858154763224415,8.227356910705566,8.0554741024971,7.312389850616455,7.240426058118993,9.156015396118164,0.6443976816336845,0.9912983216865784,0.8254699131950732,2.4554031972703774,19.23981014887492,19.23981014887492,21.673208475112915,21.673208475112915,21.673208475112915
