"test_match_cond","speaker_identity","trial_sequence_total","list_number","phase","condition","Answer.time_in_minutes","wrong_attempts","block_sequence","workerid","item_number","island_tested","response","Answer.condition","comp_question_exist","first_response_value","comp_answer"
"mismatch","Iron-Head",1,"1","exposure","UNGRAM",12.01795,NA,2,0,"128","SUBJ",0,"undefined",0,NA,"/"
"mismatch","Thomas",2,"1","exposure","SUBJ",12.01795,NA,2,0,"38","SUBJ",0.37,"undefined",0,NA,"/"
"mismatch","Gregory",3,"1","exposure","FILL",12.01795,NA,2,0,"113","SUBJ",0.98,"undefined",0,NA,"/"
"mismatch","Gregory",4,"1","exposure","FILL",12.01795,NA,15,0,"101","SUBJ",0.92,"undefined",0,NA,"/"
"mismatch","Iron-Head",5,"1","exposure","UNGRAM",12.01795,NA,15,0,"116","SUBJ",0.04,"undefined",0,NA,"/"
"mismatch","Thomas",6,"1","exposure","SUBJ",12.01795,NA,15,0,"2","SUBJ",0.45,"undefined",0,NA,"/"
"mismatch","Iron-Head",7,"1","exposure","UNGRAM",12.01795,NA,16,0,"124","SUBJ",0.03,"undefined",1,NA,"Iron-Head"
"mismatch","Thomas",8,"1","exposure","SUBJ",12.01795,NA,16,0,"26","SUBJ",0.75,"undefined",0,NA,"/"
"mismatch","Gregory",9,"1","exposure","FILL",12.01795,NA,16,0,"109","SUBJ",0.9,"undefined",1,NA,"Gregory"
"mismatch","Gregory",10,"1","exposure","FILL",12.01795,NA,17,0,"102","SUBJ",0.9,"undefined",0,NA,"/"
"mismatch","Iron-Head",11,"1","exposure","UNGRAM",12.01795,NA,17,0,"117","SUBJ",0.04,"undefined",0,NA,"/"
"mismatch","Thomas",12,"1","exposure","SUBJ",12.01795,NA,17,0,"5","SUBJ",0.89,"undefined",0,NA,"/"
"mismatch","Iron-Head",13,"1","exposure","UNGRAM",12.01795,NA,18,0,"123","SUBJ",0.07,"undefined",1,NA,"Iron-Head"
"mismatch","Thomas",14,"1","exposure","SUBJ",12.01795,NA,18,0,"23","SUBJ",0.95,"undefined",0,NA,"/"
"mismatch","Gregory",15,"1","exposure","FILL",12.01795,NA,18,0,"108","SUBJ",0.89,"undefined",1,NA,"Thomas"
"mismatch","Iron-Head",16,"1","exposure","UNGRAM",12.01795,NA,19,0,"129","SUBJ",0.06,"undefined",0,NA,"/"
"mismatch","Thomas",17,"1","exposure","SUBJ",12.01795,NA,19,0,"41","SUBJ",0.93,"undefined",0,NA,"/"
"mismatch","Gregory",18,"1","exposure","FILL",12.01795,NA,19,0,"114","SUBJ",1,"undefined",0,NA,"/"
"mismatch","Iron-Head",19,"1","exposure","UNGRAM",12.01795,NA,20,0,"118","SUBJ",0.03,"undefined",0,NA,"/"
"mismatch","Gregory",20,"1","exposure","FILL",12.01795,NA,20,0,"103","SUBJ",0.91,"undefined",0,NA,"/"
"mismatch","Thomas",21,"1","exposure","SUBJ",12.01795,NA,20,0,"8","SUBJ",0.97,"undefined",0,NA,"/"
"mismatch","Iron-Head",22,"1","exposure","UNGRAM",12.01795,NA,21,0,"121","SUBJ",0.02,"undefined",0,NA,"/"
"mismatch","Thomas",23,"1","exposure","SUBJ",12.01795,NA,21,0,"17","SUBJ",0.98,"undefined",1,NA,"Thomas"
"mismatch","Gregory",24,"1","exposure","FILL",12.01795,NA,21,0,"106","SUBJ",0.96,"undefined",0,NA,"/"
"mismatch","Thomas",25,"1","exposure","SUBJ",12.01795,NA,22,0,"14","SUBJ",0.97,"undefined",0,NA,"/"
"mismatch","Iron-Head",26,"1","exposure","UNGRAM",12.01795,NA,22,0,"120","SUBJ",0.29,"undefined",0,NA,"/"
"mismatch","Gregory",27,"1","exposure","FILL",12.01795,NA,22,0,"105","SUBJ",0.99,"undefined",1,NA,"Gregory"
"mismatch","Gregory",28,"1","exposure","FILL",12.01795,NA,3,0,"111","SUBJ",0.97,"undefined",0,NA,"/"
"mismatch","Thomas",29,"1","exposure","SUBJ",12.01795,NA,3,0,"32","SUBJ",0.94,"undefined",0,NA,"/"
"mismatch","Iron-Head",30,"1","exposure","UNGRAM",12.01795,NA,3,0,"126","SUBJ",0.02,"undefined",0,NA,"/"
"mismatch","Gregory",31,"1","exposure","FILL",12.01795,NA,10,0,"107","SUBJ",0.98,"undefined",0,NA,"/"
"mismatch","Iron-Head",32,"1","exposure","UNGRAM",12.01795,NA,10,0,"122","SUBJ",0.04,"undefined",0,NA,"/"
"mismatch","Thomas",33,"1","exposure","SUBJ",12.01795,NA,10,0,"20","SUBJ",0.94,"undefined",0,NA,"/"
"mismatch","Iron-Head",34,"1","exposure","UNGRAM",12.01795,NA,11,0,"130","SUBJ",0.14,"undefined",0,NA,"/"
"mismatch","Thomas",35,"1","exposure","SUBJ",12.01795,NA,11,0,"44","SUBJ",0.91,"undefined",0,NA,"/"
"mismatch","Gregory",36,"1","exposure","FILL",12.01795,NA,11,0,"115","SUBJ",0.94,"undefined",1,NA,"Gregory"
"mismatch","Thomas",37,"1","exposure","SUBJ",12.01795,NA,12,0,"11","SUBJ",0.87,"undefined",0,NA,"/"
"mismatch","Gregory",38,"1","exposure","FILL",12.01795,NA,12,0,"104","SUBJ",0.87,"undefined",0,NA,"/"
"mismatch","Iron-Head",39,"1","exposure","UNGRAM",12.01795,NA,12,0,"119","SUBJ",0.06,"undefined",1,NA,"Iron-Head"
"mismatch","Gregory",40,"1","exposure","FILL",12.01795,NA,13,0,"112","SUBJ",0.97,"undefined",1,NA,"Gregory"
