"#Data from Experiment 1 of Sprouse, Jon, Matt Wagers, & Colin Phillips. 2012. A test of the relation between working memory capacity and syntactic island effects. Language 88(1): 82-123.",,,,,,,,,,,
#This data is provided in the spirit of open science so that other researchers can verify the analyses.,,,,,,,,,,,
#Please contact Jon Sprouse if you would like to discuss the possibility of using this data set for novel research.,,,,,,,,,,,
"#If you are using R to read this file, try adding skip=5 to the read function.",,,,,,,,,,,
,,,,,,,,,,,
subject,gender,age,recall,survey,condition,subdesign,structure,distance,item,raw.judgment,zscores
1,F,21,3.5,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,1,-1.150157973
1,F,21,3.5,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.b,7,0.986909744
2,F,21,5.75,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,3,-0.699702318
2,F,21,5.75,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.b,6,0.874627897
3,M,22,3.5,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,3,-0.37780374
3,M,22,3.5,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.b,2,-0.831168227
4,F,24,5.75,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,1,-1.227359058
4,F,24,5.75,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.b,1,-1.227359058
5,F,23,3.25,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,5,0.144337567
5,F,23,3.25,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.b,3,-1.395263151
6,M,24,6.5,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,2,-1.642161808
6,M,24,6.5,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.b,2,-1.642161808
7,F,21,3.5,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,1,-1.503682403
7,F,21,3.5,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.b,1,-1.503682403
8,F,21,3.75,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,3,-0.736535462
8,F,21,3.75,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.b,1,-1.692040926
9,F,22,3.5,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,3,-0.225745712
9,F,22,3.5,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.b,1,-1.028397133
10,F,21,4.25,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.a,1,-1.035413102
10,F,21,4.25,1,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.1.b,1,-1.035413102
