"#Data from Sprouse, Jon, Carson T. Schütze, & Diogo Almeida. 2013. A comparison of informal and formal acceptability judgments using a random sample from Linguistic Inquiry 2001-2010. Lingua 134: 219-248.",,,,,
#This data is provided in the spirit of open science so that other researchers can verify the analyses.,,,,,
#Please contact Jon Sprouse if you would like to discuss the possibility of using this data set for novel research.,,,,,
"#If you are using R to read this file, try adding skip=5 to the read function.",,,,,
,,,,,
participant,survey,order,item,condition,judgment
1,1.1,1,35.1.mcginnis.32b.*.01,35.1.mcginnis.32b.*,0
1,1.1,1,good.35.1.mcginnis.32b.*.01,good.35.1.mcginnis.32b.*,1
1,1.1,2,34.1.fox.26.*.01,34.1.fox.26.*,0
1,1.1,2,good.34.1.fox.26.*.01,good.34.1.fox.26.*,1
1,1.1,3,41.4.Haegeman.18a.*.01,41.4.Haegeman.18a.*,1
1,1.1,3,good.41.4.Haegeman.18a.*.01,good.41.4.Haegeman.18a.*,0
1,1.1,4,34.1.basilico.96a.??.01,34.1.basilico.96a.??,0
1,1.1,4,good.34.1.basilico.96a.??.01,good.34.1.basilico.96a.??,1
1,1.1,5,37.1.boeckx.5.*.01,37.1.boeckx.5.*,0
1,1.1,5,good.37.1.boeckx.5.*.01,good.37.1.boeckx.5.*,1
1,1.1,6,34.4.boskovic.3e.*.01,34.4.boskovic.3e.*,0
1,1.1,6,good.34.4.boskovic.3e.*.01,good.34.4.boskovic.3e.*,1
1,1.1,7,40.1.caponigro.23a.*.01,40.1.caponigro.23a.*,0
1,1.1,7,good.40.1.caponigro.23a.*.01,good.40.1.caponigro.23a.*,1
1,1.1,8,32.1.martin.2c.*.01,32.1.martin.2c.*,0
1,1.1,8,good.32.1.martin.2c.*.01,good.32.1.martin.2c.*,1
1,1.1,9,33.2.bowers.13a.*.01,33.2.bowers.13a.*,0
1,1.1,9,good.33.2.bowers.13a.*.01,good.33.2.bowers.13a.*,1
1,1.1,10,34.1.phillips.96a.*.01,34.1.phillips.96a.*,0
1,1.1,10,good.34.1.phillips.96a.*.01,good.34.1.phillips.96a.*,1
1,1.1,11,34.4.boskovic.3a.*.01,34.4.boskovic.3a.*,1
1,1.1,11,good.34.4.boskovic.3a.*.01,good.34.4.boskovic.3a.*,0
1,1.1,12,34.3.heycock.16.*.01,34.3.heycock.16.*,0
1,1.1,12,good.34.3.heycock.16.*.01,good.34.3.heycock.16.*,1
1,1.1,13,32.4.lopez.10a.*.01,32.4.lopez.10a.*,0
1,1.1,13,good.32.4.lopez.10a.*.01,good.32.4.lopez.10a.*,1
1,1.1,14,34.1.basilico.44b.*.01,34.1.basilico.44b.*,0
1,1.1,14,good.34.1.basilico.44b.*.01,good.34.1.basilico.44b.*,1
1,1.1,15,32.3.fanselow.59b.*.01,32.3.fanselow.59b.*,0
1,1.1,15,good.32.3.fanselow.59b.*.01,good.32.3.fanselow.59b.*,1
1,1.1,16,41.3.Vicente.4a6.*.01,41.3.Vicente.4a6.*,0
1,1.1,16,good.41.3.Vicente.4a6.*.01,good.41.3.Vicente.4a6.*,1
1,1.1,17,33.2.bowers.69b.*.01,33.2.bowers.69b.*,0
1,1.1,17,good.33.2.bowers.69b.*.01,good.33.2.bowers.69b.*,1
1,1.1,18,41.2.Bruening.33a.*.01,41.2.Bruening.33a.*,0
1,1.1,18,good.41.2.Bruening.33a.*.01,good.41.2.Bruening.33a.*,1
1,1.1,19,35.1.mcginnis.63b.*.01,35.1.mcginnis.63b.*,0
1,1.1,19,good.35.1.mcginnis.63b.*.01,good.35.1.mcginnis.63b.*,1
1,1.1,20,32.2.stroik.17a.*.01,32.2.stroik.17a.*,0
1,1.1,20,good.32.2.stroik.17a.*.01,good.32.2.stroik.17a.*,1
1,1.1,21,33.4.neeleman.18d.*.01,33.4.neeleman.18d.*,0
1,1.1,21,good.33.4.neeleman.18d.*.01,good.33.4.neeleman.18d.*,1
1,1.1,22,41.3.Rezac.3b2.*.01,41.3.Rezac.3b2.*,0
1,1.1,22,good.41.3.Rezac.3b2.*.01,good.41.3.Rezac.3b2.*,1
