bad,good
32.1.martin.20a.*,good.32.1.martin.20a.*
32.1.martin.26a.??,good.32.1.martin.26a.??
32.1.martin.26b.??,good.32.1.martin.26b.??
32.1.martin.28b.??,good.32.1.martin.28b.??
32.1.martin.2c.*,good.32.1.martin.2c.*
32.1.martin.39a.*,good.32.1.martin.39a.*
32.1.martin.65b.*,good.32.1.martin.65b.*
32.1.martin.66b.*,good.32.1.martin.66b.*
32.1.martin.69b.*,good.32.1.martin.69b.*
32.1.martin.79.*,good.32.1.martin.79.*
32.1.martin.93b.*,good.32.1.martin.93b.*
32.2.alexiadou.31a.*,good.32.2.alexiadou.31a.*
32.2.boeckx.11.*,good.32.2.boeckx.11.*
32.2.nunes.3b.*,good.32.2.nunes.3b.*
32.2.nunes.3c.*,good.32.2.nunes.3c.*
32.2.nunes.48b.*,good.32.2.nunes.48b.*
32.2.stroik.13b.*,good.32.2.stroik.13b.*
32.2.stroik.17a.*,good.32.2.stroik.17a.*
32.2.stroik.4b.*,good.32.2.stroik.4b.*
32.3.Culicover.15bii.*,good.32.3.Culicover.15bii.*
32.3.Culicover.22b7.*,good.32.3.Culicover.22b7.*
32.3.Culicover.25d.*,good.32.3.Culicover.25d.*
32.3.Culicover.28c.*,good.32.3.Culicover.28c.*
32.3.Culicover.32a.*,good.32.3.Culicover.32a.*
32.3.Culicover.41b.*,good.32.3.Culicover.41b.*
32.3.Culicover.49a.*,good.32.3.Culicover.49a.*
32.3.Culicover.7b.*,good.32.3.Culicover.7b.*
32.3.fanselow.28b.*,good.32.3.fanselow.28b.*
32.3.fanselow.58b.*,good.32.3.fanselow.58b.*
32.3.fanselow.58d.*,good.32.3.fanselow.58d.*
32.3.fanselow.59b.*,good.32.3.fanselow.59b.*
32.4.lopez.10a.*,good.32.4.lopez.10a.*
32.4.lopez.14b.*,good.32.4.lopez.14b.*
33.1.den Dikken.58a.*,good.33.1.den Dikken.58a.*
33.1.den Dikken.5b.*,good.33.1.den Dikken.5b.*
33.1.den Dikken.62b.*,good.33.1.den Dikken.62b.*
33.1.den Dikken.71a.*,good.33.1.den Dikken.71a.*
33.1.denDikken.72b.*,good.33.1.denDikken.72b.*
33.1.fox.49c.*,good.33.1.fox.49c.*
33.1.fox.65b.*,good.33.1.fox.65b.*
33.1.fox.69a.*,good.33.1.fox.69a.*
33.2.bowers.13a.*,good.33.2.bowers.13a.*
33.2.bowers.31b.*,good.33.2.bowers.31b.*
33.2.bowers.31c.*,good.33.2.bowers.31c.*
33.2.bowers.68b.*,good.33.2.bowers.68b.*
33.2.bowers.69b.*,good.33.2.bowers.69b.*
33.2.bowers.7b.i.*,good.33.2.bowers.7b.i.*
33.3.boskovic.48d.*,good.33.3.boskovic.48d.*
33.4.neeleman.100.*,good.33.4.neeleman.100.*
33.4.neeleman.18d.*,good.33.4.neeleman.18d.*
33.4.neeleman.24d.*,good.33.4.neeleman.24d.*
33.4.neeleman.35a.*,good.33.4.neeleman.35a.*
33.4.neeleman.97b.*,good.33.4.neeleman.97b.*
34.1.basilico.44b.*,good.34.1.basilico.44b.*
34.1.basilico.62.*,good.34.1.basilico.62.*
34.1.basilico.96a.??,good.34.1.basilico.96a.??
34.1.fox.14.*,good.34.1.fox.14.*
34.1.fox.24.*,good.34.1.fox.24.*
34.1.fox.26.*,good.34.1.fox.26.*
34.1.fox.28.*,good.34.1.fox.28.*
34.1.phillips.3e.*,good.34.1.phillips.3e.*
34.1.phillips.59b.*,good.34.1.phillips.59b.*
34.1.phillips.67d.*,good.34.1.phillips.67d.*
34.1.phillips.6b.*,good.34.1.phillips.6b.*
34.1.phillips.88b.*,good.34.1.phillips.88b.*
34.1.phillips.93b.?*,good.34.1.phillips.93b.?*
34.1.phillips.96a.*,good.34.1.phillips.96a.*
34.2.caponigro.13b.*,good.34.2.caponigro.13b.*
34.2.panagiotidis.6.*,good.34.2.panagiotidis.6.*
34.3.heycock.16.*,good.34.3.heycock.16.*
34.3.heycock.30c.?*,good.34.3.heycock.30c.?*
34.3.heycock.37b.??,good.34.3.heycock.37b.??
34.3.heycock.55a.*,good.34.3.heycock.55a.*
34.3.heycock.66.*,good.34.3.heycock.66.*
34.3.heycock.82a.*,good.34.3.heycock.82a.*
34.3.landau.32c.*,good.34.3.landau.32c.*
34.3.landau.39b.*,good.34.3.landau.39b.*
34.3.takano.10b.*,good.34.3.takano.10b.*
34.3.takano.9e.*,good.34.3.takano.9e.*
34.4.boskovic.3a.*,good.34.4.boskovic.3a.*
34.4.boskovic.3b.*,good.34.4.boskovic.3b.*
34.4.boskovic.3c.*,good.34.4.boskovic.3c.*
34.4.boskovic.3d.*,good.34.4.boskovic.3d.*
34.4.boskovic.3e.*,good.34.4.boskovic.3e.*
34.4.boskovic.7a.??,good.34.4.boskovic.7a.??
34.4.haegeman.2a.*,good.34.4.haegeman.2a.*
34.4.lasnik.10a.*,good.34.4.lasnik.10a.*
35.1.beck.12b.*,good.35.1.beck.12b.*
35.1.bhatt.14a.*,good.35.1.bhatt.14a.*
35.1.bhatt.76b.*,good.35.1.bhatt.76b.*
35.1.bhatt.94a.*,good.35.1.bhatt.94a.*
35.1.mcginnis.32b.*,good.35.1.mcginnis.32b.*
35.1.mcginnis.63b.*,good.35.1.mcginnis.63b.*
35.2.hazout.6b.*,good.35.2.hazout.6b.*
35.2.larson.44a.??,good.35.2.larson.44a.??
35.2.larson.44c.??,good.35.2.larson.44c.??
35.3.embick.13b.*,good.35.3.embick.13b.*
35.3.hazout.63.*,good.35.3.hazout.63.*
35.3.hazout.67c.*,good.35.3.hazout.67c.*
35.3.hazout.75a.*,good.35.3.hazout.75a.*
35.3.richards.17b.*,good.35.3.richards.17b.*
35.3.sobin.3c.*,good.35.3.sobin.3c.*
36.4.den Dikken.45.*,good.36.4.den Dikken.45.*
37.1.boeckx.5.*,good.37.1.boeckx.5.*
37.2.de Vries.39a.*,good.37.2.de Vries.39a.*
37.2.Sigurdsson.3d.*,good.37.2.Sigurdsson.3d.*
37.3.becker.26b.*,good.37.3.becker.26b.*
37.3.becker.2b.*,good.37.3.becker.2b.*
37.3.becker.5b.*,good.37.3.becker.5b.*
37.4.nakajima.20e.*,good.37.4.nakajima.20e.*
38.2.hornstein.3c.*,good.38.2.hornstein.3c.*
38.2.hornstein.4c.*,good.38.2.hornstein.4c.*
38.2.hornstein.4e.*,good.38.2.hornstein.4e.*
38.3.haddican.39.*,good.38.3.haddican.39.*
38.3.hirose.1b.*,good.38.3.hirose.1b.*
38.3.hirose.4a.*,good.38.3.hirose.4a.*
38.3.landau.31b.*,good.38.3.landau.31b.*
38.3.landau.39a.*,good.38.3.landau.39a.*
38.4.Boskovic.4.*,good.38.4.Boskovic.4.*
38.4.kallulli.10b.*,good.38.4.kallulli.10b.*
38.4.kallulli.4b.*,good.38.4.kallulli.4b.*
38.4.kallulli.9b.*,good.38.4.kallulli.9b.*
39.1.sobin.20c.*,good.39.1.sobin.20c.*
40.1.caponigro.23a.*,good.40.1.caponigro.23a.*
40.1.caponigro.25b.*,good.40.1.caponigro.25b.*
40.1.heck.5b.*,good.40.1.heck.5b.*
40.1.stepanov.4b.*,good.40.1.stepanov.4b.*
40.2.johnson.59b.*,good.40.2.johnson.59b.*
40.4.hicks.23.*,good.40.4.hicks.23.*
41.1.Muller.14c.*,good.41.1.Muller.14c.*
41.1.Muller.25b.??(*),good.41.1.Muller.25b.??(*)
41.2.Bruening.31a.*,good.41.2.Bruening.31a.*
41.2.Bruening.33a.*,good.41.2.Bruening.33a.*
41.2.Bruening.36b.*,good.41.2.Bruening.36b.*
41.2.Bruening.3b.*,good.41.2.Bruening.3b.*
41.3.Costantini.2b.??,good.41.3.Costantini.2b.??
41.3.Landau.10b.*,good.41.3.Landau.10b.*
41.3.Landau.25c.*,good.41.3.Landau.25c.*
41.3.Landau.27b.*,good.41.3.Landau.27b.*
41.3.Landau.7b.*,good.41.3.Landau.7b.*
41.3.Rezac.3b2.*,good.41.3.Rezac.3b2.*
41.3.Vicente.4a3.*,good.41.3.Vicente.4a3.*
41.3.Vicente.4a6.*,good.41.3.Vicente.4a6.*
41.3.Vicente.5a.*,good.41.3.Vicente.5a.*
41.3.Vicente.8a.*,good.41.3.Vicente.8a.*
41.3.Vicente.8d.*,good.41.3.Vicente.8d.*
41.4.Bruening.9b.*,good.41.4.Bruening.9b.*
41.4.Haegeman.18a.*,good.41.4.Haegeman.18a.*
41.4.Haegeman.22d.*,good.41.4.Haegeman.22d.*
41.4.Haegeman.4a.*,good.41.4.Haegeman.4a.*
