bad,good,list
32.1.martin.65b.*.01,32.1.martin.65a.g.01,2
32.1.martin.26a.??.01,32.1.martin.22a.g.01,2
32.2.nunes.3c.*.01,32.2.nunes.3a.g.01,2
32.3.Culicover.15bii.*.01,32.3.Culicover.15bii.g.01,2
32.3.Culicover.7b.*.01,32.3.Culicover.7a.g.01,2
32.3.fanselow.28b.*.01,32.3.fanselow.28b.g.01,2
33.1.denDikken.5b.*.01,33.1.denDikken.5a.g.01,2
33.2.bowers.7b.i.*.01,33.2.bowers.7b.i.g.01,2
33.2.bowers.68b.*.01,33.2.bowers.68a.g.01,2
33.4.neeleman.97b.*.01,33.4.neeleman.97a.g.01,2
34.1.phillips.88b.*.01,34.1.phillips.88b.g.01,2
34.3.heycock.37b.??.01,34.3.heycock.37b.g.01,2
34.1.fox.24.*.01,34.1.fox.19.g.01,2
34.2.panagiotidis.6.*.01,34.2.panagiotidis.6.g.01,2
34.4.boskovic.3b.*.01,34.4.boskovic.4b.g.01,2
34.4.boskovic.3d.*.01,34.4.boskovic.4d.g.01,2
35.1.bhatt.14a.*.01,35.1.bhatt.14cf.g.01,2
35.3.hazout.63.*.01,35.3.hazout.60b.g.01,2
36.4.denDikken.45.*.01,36.4.denDikken.45.g.01,2
38.2.hornstein.4c.*.01,38.2.hornstein.4b.g.01,2
40.2.johnson.59b.*.01,40.2.johnson.59b.g.01,2
41.3.Landau.27b.*.01,41.3.Landau.27b.g.01,2
41.4.Haegeman.22d.*.01,41.4.Haegeman.22d.g.01,2
41.3.Vicente.8d.*.01,41.3.Vicente.8d.g.01,2
38.4.kallulli.4b.*.01,38.4.kallulli.4b.g.01,2
32.3.Culicover.32a.*.01,32.3.Culicover.32a.g.01,2
37.3.becker.2b.*.01,37.3.becker.2a.g.01,2
38.2.hornstein.4e.*.01,38.2.hornstein.4d.g.01,2
38.3.landau.39a.*.01,38.3.landau.38a.g.01,2
39.1.sobin.20c.*.01,39.1.sobin.21c.g.01,2
40.4.hicks.23.*.01,40.4.hicks.22.g.01,2
41.2.Bruening.36b.*.01,41.2.Bruening.36a.g.01,2
41.3.Landau.7b.*.01,41.3.Landau.7b.g.01,2
41.3.Landau.10b.*.01,41.3.Landau.10a.g.01,2
33.1.denDikken.72b.*.01,33.1.denDikken.72a.g.01,2
32.2.alexiadou.31a.*.01,32.2.alexiadou.31b.g.01,2
32.4.lopez.14b.*.01,32.4.lopez.14b.g.01,2
33.2.bowers.31c.*.01,33.2.bowers.31a.g.01,2
34.1.phillips.67d.*.01,34.1.phillips.67c.g.01,2
34.3.heycock.82a.*.01,34.3.heycock.82a.g.01,2
35.2.larson.44a.??.01,35.2.larson.44a.g.01,2
38.3.haddican.39.*.01,38.3.haddican.39.g.01,2
32.1.martin.28b.??.01,32.1.martin.27b.g.01,2
33.1.denDikken.62b.*.01,33.1.denDikken.62a.g.01,2
34.1.phillips.6b.*.01,34.1.phillips.6b.g.01,2
34.3.heycock.55a.*.01,34.3.heycock.55a.g.01,2
34.4.boskovic.3c.*.01,34.4.boskovic.4c.g.01,2
37.4.nakajima.20e.*.01,37.4.nakajima.4a.g.01,2
41.3.Vicente.8a.*.01,41.3.Vicente.8a.g.01,2
33.3.boskovic.48d.*.01,33.3.boskovic.48a.g.01,2
32.1.martin.69b.*.01,32.1.martin.69a.g.01,1
32.1.martin.93b.*.01,32.1.martin.92b.g.01,1
32.2.stroik.4b.*.01,32.2.stroik.4a.g.01,1
32.3.Culicover.28c.*.01,32.3.Culicover.28c.g.01,1
32.3.fanselow.58b.*.01,32.3.fanselow.58a.g.01,1
32.4.lopez.10a.*.01,32.4.lopez.9a.g.01,1
33.1.fox.65b.*.01,33.1.fox.65b.g.01,1
33.2.bowers.69b.*.01,33.2.bowers.69a.g.01,1
33.4.neeleman.18d.*.01,33.4.neeleman.18c.g.01,1
34.1.phillips.3e.*.01,34.1.phillips.3d.g.01,1
34.1.basilico.96a.??.01,34.1.basilico.96b.g.01,1
34.3.heycock.16.*.01,34.3.heycock.16.g.01,1
34.1.fox.26.*.01,34.1.fox.23.g.01,1
34.2.caponigro.13b.*.01,34.2.caponigro.13a.g.01,1
34.4.boskovic.3e.*.01,34.4.boskovic.4e.g.01,1
35.1.bhatt.94a.*.01,35.1.bhatt.94b.g.01,1
35.2.larson.44c.??.01,35.2.larson.44c.g.01,1
35.3.hazout.67c.*.01,35.3.hazout.67a.g.01,1
34.4.haegeman.2a.*.01,34.4.haegeman.2a.g.01,1
40.1.caponigro.23a.*.01,40.1.caponigro.23cf.g.01,1
41.2.Bruening.33a.*.01,41.2.Bruening.33a.g.01,1
41.3.Vicente.4a3.*.01,41.3.Vicente.4a1.g.01,1
32.2.nunes.3b.*.01,32.2.nunes.3a.g.01,1
34.4.boskovic.3a.*.01,34.4.boskovic.4a.g.01,1
33.2.bowers.13a.*.01,33.2.bowers.13a.g.01,1
32.3.Culicover.49a.*.01,32.3.Culicover.49a.g.01,1
37.3.becker.5b.*.01,37.3.becker.5a.g.01,1
38.3.hirose.4a.*.01,38.3.hirose.3a.g.01,1
38.4.kallulli.10b.*.01,38.4.kallulli.10a.g.01,1
35.1.mcginnis.63b.*.01,35.1.mcginnis.63a.g.01,1
41.1.Muller.14c.*.01,41.1.Muller.14c.g.01,1
41.3.Rezac.3b2.*.01,41.3.Rezac.3b1.g.01,1
41.3.Vicente.5a.*.01,41.3.Vicente.5b.g.01,1
41.4.Haegeman.18a.*.01,41.4.Haegeman.18a.g.01,1
32.2.stroik.17a.*.01,32.2.stroik.17a.g.01,1
33.1.denDikken.58a.*.01,33.1.denDikken.58a.g.01,1
33.4.neeleman.100.*.01,33.4.neeleman.100.g.01,1
34.1.basilico.62.*.01,34.1.basilico.62.g.01,1
35.1.mcginnis.32b.*.01,35.1.mcginnis.32b.g.01,1
37.1.boeckx.5.*.01,37.1.boeckx.8.g.01,1
41.4.Haegeman.4a.*.01,41.4.Haegeman.4c.g.01,1
32.1.martin.2c.*.01,32.1.martin.1a.g.01,1
34.1.basilico.44b.*.01,34.1.basilico.44a.?.01,1
34.1.phillips.96a.*.01,34.1.phillips.96a.g.01,1
