"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm","beyond_5", "beyond_6", "beyond_7", "beyond_8", "beyond_9"
0,4.794755623737971,6.477117881413923,2.7217772497829644,4.599447565598443,0.5293392302394555,8.287549018859863,4.526399224996567,4.513101577758789,4.5572318732738495,0.6597157716751099,0.38106560304679193,0.6118150305205869,0.5654458897067278,0.17691846780287498,0,0,0,0,0
1,5.422431662678719,7.071129683533329,2.79240334405688,4.931766513795104,0.5453517647734939,0,0,0,0,0,0,0,0,0,13.3572359085083,0,0,0,0
2,6.336323380470276,6.482482893180814,5.118112168562683,5.800297530871747,0.6456514451691646,0,0,0,0,0,0,0,0,0,14.20259428024292,15.037357330322266,15.037357330322266,0,0
3,6.385431656470666,8.597758074544519,4.333545713565591,6.465651894055054,0.643721365041211,0,0,0,0,0,0,0,0,0,13.770421028137207,0,0,0,0
4,6.071180426157438,7.147831973296318,3.2329770722349633,5.190404522765642,0.6446468965517634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.296740579605102,6.512334681071979,3.3917677475137524,4.952051214292865,0.5906922923126116,8.287549018859863,5.08311140537262,0,0,11.48648738861084,0.5818133129404031,0,0,1.7179044981353868,0,0,0,0,0
6,6.311087018810213,6.7940925543340835,4.371670822627239,5.582881688480661,0.546121835166737,0,0,0,0,0,0,0,0,0,17.00934759527445,17.00934759527445,19.620953872799873,19.620953872799873,19.620953872799873
7,5.305425451861487,6.431650293104738,2.20602005211256,4.318835172608649,0.5732315857055057,8.287549018859863,4.07732817530632,3.508082628250122,5.616059482097626,0.7191015481948853,0.33866392164315373,0.4755704349418705,0.6477453681384241,0.19284417557318537,0,0,0,0,0
8,6.24216380516688,6.629365377216794,3.9421088261487705,5.285737101682783,0.5910237903592621,0,0,0,0,0,0,0,0,0,13.629288673400879,14.20051383972168,0,0,0
9,4.640691595918992,6.513359954067303,1.7066594851822015,4.110009719624752,0.4944052362102124,8.287549018859863,4.026338636875153,3.151075601577759,4.732143932580948,0.6665889620780945,0.3462167925123175,0.42717306095054886,0.5531633988537946,0.17876167720792813,0,0,0,0,0
10,5.116578012704849,6.423338771959786,1.6319858791861948,4.027662325572991,0.528995669776708,0,0,0,0,0,0,0,0,0,16.423465728759766,16.423465728759766,16.423465728759766,16.423465728759766,0
11,5.229212280114492,6.4514405137590085,1.5605007273229983,4.005970620541005,0.5434235375472712,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5.104366847446987,6.4632867744206886,2.913886296705896,4.688586535563291,0.5370482834073711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5.1759799520174665,6.443991732632683,2.1773738279141086,4.310682780273396,0.5930890026953978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5.166737288236618,7.103042742604906,3.4365731664843295,5.269807954544619,0.515380450802442,8.287549018859863,5.3050452172756195,3.8900632858276367,4.927000343799591,12.675812721252441,0.4897884348984238,0.5273533393696759,0.5044582130352173,1.4738778644418757,0,0,0,0,0
