"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm","beyond_5", "beyond_6", "beyond_7", "beyond_8", "beyond_9"
1,4.950399557501077,6.460145416471401,2.0831330006020963,4.271639208536747,5.913340609972033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4.778957573696971,6.663105099978071,4.040902270454171,5.35200368521612,5.451707349840409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6.141351965100815,7.150373879261545,3.4429209657520286,5.296647422506787,5.683734154237109,0,0,0,0,0,0,0,0,0,14.663361072540283,14.663361072540283,0,0,0
4,5.570579911768436,6.795201392423957,5.572611014359512,6.183906203391735,6.276445656953613,0,0,0,0,0,0,0,0,0,13.673961162567139,0,0,0,0
5,5.337857971588771,6.697192555383948,3.5851549563203844,5.141173755852168,5.480567617615113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4.852842949330807,6.750797392185221,3.2637928568896366,5.0072951245374275,6.257507555841614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5.1174240208097865,6.899085280300832,2.8828511715058758,4.890968225903355,5.023301881821578,0,0,0,0,0,0,0,0,0,13.105867385864258,0,0,0,0
8,4.805729263103926,7.98505614662214,4.158282684264174,6.071669415443157,5.19352963975147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5.036802779262264,6.501613316838698,1.3291319986520658,3.915372657745383,5.55640102258125,0,0,0,0,0,0,0,0,0,13.87488079071045,14.00902271270752,0,0,0
10,5.045234388361375,6.759940117288606,5.004010262445168,5.881975189866887,5.553367213656096,0,0,0,0,0,0,0,0,0,14.846765518188477,14.846765518188477,15.210272789001465,0,0
11,4.024121903348714,6.09552584464282,2.0152176013614986,4.055371723002159,6.469235262625098,0,0,0,0,0,0,0,0,0,13.995589256286621,0,0,0,0
12,4.286338764429092,6.659487307930318,5.419049476584412,6.039268392257366,6.672105373562195,0,0,0,0,0,0,0,0,0,14.551240921020508,14.551240921020508,0,0,0
