"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm","beyond_5", "beyond_6", "beyond_7", "beyond_8", "beyond_9"
0,5.201991195480029,7.992676274505135,5.252535366414614,6.622605820459874,0.5577328505541171,10.094849586486816,3.2861307760079703,0.9796671867370605,7.908148229122162,3.4844491481781006,0.3239240028223315,0.13280780399611625,0.8740987429740921,0.9344378759771292,13.068646430969238,0,0,0,0
1,4.387400388717651,6.042605966290447,3.8538067968763943,4.948206381583421,0.49677992369194984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4.481311861957822,6.095394283564128,5.4781673457726345,5.786780814668383,0.4799032285261844,0,0,0,0,0,0,0,0,0,13.20180892944336,0,0,0,0
3,5.359667460123698,6.126825118784855,7.058251498527034,6.5925383086559455,0.4546464206966329,0,0,0,0,0,0,0,0,0,14.707016626993815,15.137982845306396,15.896017074584961,0,0
4,5.153402222054345,6.0321374976728075,7.314918596345927,6.673528047009368,0.5473188723838808,0,0,0,0,0,0,0,0,0,14.939570426940918,14.939570426940918,0,0,0
5,4.875773769158584,6.058943095133849,4.868718403289414,5.463830749211632,0.4874255611550579,7.627841949462891,3.2428706884384155,0.9206371307373047,7.075871157646179,0,0.3300058832174712,0.12480544134354384,0.7147217918604936,0,13.04429817199707,0,0,0,0
6,4.57493997613589,6.021018708030268,6.975695783305392,6.498357245667831,0.45729767863327275,0,0,0,0,0,0,0,0,0,16.479528427124023,16.479528427124023,16.479528427124023,16.479528427124023,0
7,5.710548852171216,6.284805979419827,6.413721138847347,6.349263559133589,0.5116652874007215,7.627841949462891,4.4253138701121015,0.7205890417098999,7.507894953091939,2.0889079570770264,0.32531289593411655,0.09768608105769204,0.7426113286471324,0.5601903289486636,18.543881356716156,18.543881356716156,18.543881356716156,18.543881356716156,18.543881356716156
8,5.428615950621092,6.33737896454461,4.913122938757077,5.625250951650843,0.4537517865239735,0,0,0,0,0,0,0,0,0,20.443279027938843,20.443279027938843,20.443279027938843,20.443279027938843,20.443279027938843
9,4.928449873740856,6.7906311885969535,4.6829887603176,5.736809974457276,0.5080926873471013,7.627841949462891,3.94937656323115,0.9475012421607971,6.3596491575241085,3.170821189880371,0.4411413919155118,0.128447253269841,0.6343653471368984,0.8503310829846105,15.00907039642334,15.00907039642334,15.00907039642334,0,0
10,7.29242084423701,6.244056414319291,7.184659024113749,6.714357719216521,0.6243275031599839,0,0,0,0,0,0,0,0,0,14.977095603942871,15.554848670959473,15.554848670959473,0,0
11,4.215973175488985,6.0225480608958835,4.536118465046044,5.279333262970964,0.41868479520358703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4.021466160813968,5.994505333324838,4.182738217632631,5.088621775478734,0.39915462713293287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4.579618299708647,6.712079259795498,4.145780679306277,5.428929969550888,0.4710677286869073,0,0,0,0,0,0,0,0,0,16.372745513916016,16.372745513916016,16.372745513916016,16.372745513916016,0
14,5.363979641596476,6.827274467247902,4.908178659915891,5.867726563581896,0.5248480178895949,7.627841949462891,4.0166588226954145,0.9955036640167236,6.819485153470721,0,0.4101569603199509,0.1349546634592279,0.6598201782714394,0,13.356624603271484,0,0,0,0
