"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm","beyond_5", "beyond_6", "beyond_7", "beyond_8", "beyond_9"
0,5.1770687973126766,6.501718881618814,3.3921688357251303,4.946943858671974,0.363769858690965,8.054758071899414,5.5688955350779,0.11883160471916199,5.330379039049149,0.13456499576568604,0.31944702319694984,0.00886577076149933,0.4140326174503837,0.03608680267005922,18.220715953037143,18.220715953037143,18.220715953037143,18.220715953037143,18.220715953037143
1,4.704716579134886,6.282038548587699,4.058222037957437,5.170130293272567,0.4099769567226445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4.43650888109749,6.176918666521825,3.3415915951544997,4.759255130838162,0.38940488770762377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4.996358878538013,6.2380157682021595,4.623965959247276,5.430990863724719,0.3544292697543395,0,0,0,0,0,0,0,0,0,13.897974014282227,0,0,0,0
4,5.471762439608574,8.270242895213771,3.3931679659317497,5.831705430572762,0.5160681367478459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.224231013283133,6.29115317857197,5.161078010935988,5.72611559475398,0.36784362701582163,8.054758071899414,3.883866229094565,0.12373965233564377,7.132086873054504,0,0.2792170882138926,0.009231949651005095,0.46435542852320594,0,16.020492553710938,16.020492553710938,16.020492553710938,16.020492553710938,0
6,5.012783265926621,6.891970267463752,3.1086333966808284,5.00030183207229,0.4369156001963664,0,0,0,0,0,0,0,0,0,16.051485061645508,16.051485061645508,16.051485061645508,16.051485061645508,0
7,4.337580392758052,6.958357581863098,2.499044620172527,4.728701101017813,0.4000222740434389,8.054758071899414,4.65440060198307,0.5729217529296875,4.134280413389206,0.5134161114692688,0.4074193891251936,0.04274446127152147,0.4054885028650257,0.13768473589136127,0,0,0,0,0
8,4.387253861129284,6.168953624805649,3.6889072455389944,4.9289304351723215,0.3661863115608076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3.9552588633128574,6.176867044253235,1.7444043848213455,3.96063571453729,0.4526367966551353,8.054758071899414,3.019053738564253,0.18406327068805695,4.38232347369194,0.9336458444595337,0.2652444502717897,0.013732565232866614,0.5709113166616314,0.2503793290448236,0,0,0,0,0
10,3.3157148499041798,6.1514904911490245,2.8796451842132194,4.515567837681122,0.3158695979022619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4.478429176534216,6.181196630738075,3.793567702516639,4.987382166627356,0.41304244068298906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4.25879497975111,6.1961257542835355,4.773795301586527,5.484960527935031,0.3514751211956207,0,0,0,0,0,0,0,0,0,16.044763565063477,16.044763565063477,16.044763565063477,16.044763565063477,0
13,4.669861282904943,6.876574483056527,2.8893906223900747,4.882982552723303,0.4314270001164106,0,0,0,0,0,0,0,0,0,18.63604736328125,18.63604736328125,18.63604736328125,18.63604736328125,18.63604736328125
14,4.293226271867752,6.189269503879299,3.951625176586906,5.070447340233103,0.36014738104660465,8.054758071899414,2.8832363367080687,0.2132340371608734,6.13532879948616,0,0.26056969434892185,0.01590893345659319,0.4869873831881579,0,0,0,0,0,0
