"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm","beyond_5", "beyond_6", "beyond_7", "beyond_8", "beyond_9"
1,6.172828751451829,7.625196925553377,3.9471662446956626,5.78618158512452,4.024276603045234,0,0,0,0,0,0,0,0,0,15.752121925354004,15.752121925354004,15.752121925354004,0,0
2,6.253519686271569,7.213608076665828,2.9597120138124877,5.086660045239159,4.304355669399222,0,0,0,0,0,0,0,0,0,16.22460287483409,16.22460287483409,17.972707748413086,17.972707748413086,17.972707748413086
3,5.963062290102243,7.099991406356595,4.825061290305954,5.962526348331275,3.594825341749559,0,0,0,0,0,0,0,0,0,13.978360811869303,14.384309768676758,0,0,0
4,5.790205887518823,7.086124315492599,1.8609795181394464,4.473551916816024,3.608655159187181,0,0,0,0,0,0,0,0,0,15.528756777445475,15.528756777445475,15.528756777445475,16.103954315185547,0
5,5.982989000923493,7.154581843834561,1.4446540529067489,4.299617948370654,3.607281577216339,0,0,0,0,0,0,0,0,0,20.40177869796753,20.40177869796753,20.40177869796753,20.40177869796753,24.68363094329834
6,5.358854778607687,7.0988813780542985,3.3518896265310203,5.225385502292659,3.6149996361479353,0,0,0,0,0,0,0,0,0,16.194272994995117,16.194272994995117,16.194272994995117,16.194272994995117,0
7,5.397311262786388,7.543624882871582,3.2637051753715793,5.403665029121583,4.184284684243022,0,0,0,0,0,0,0,0,0,16.506155014038086,16.506155014038086,16.506155014038086,16.506155014038086,0
8,5.127619837721189,7.034126568690363,1.7027662969361015,4.368446432813233,4.493294755922005,0,0,0,0,0,0,0,0,0,16.249055862426758,16.249055862426758,16.249055862426758,16.249055862426758,0
9,6.181539423267046,7.048825647717389,1.817709566214005,4.433267606965698,3.280741515146553,0,0,0,0,0,0,0,0,0,16.518742243448894,17.79170560836792,17.79170560836792,19.928354263305664,19.928354263305664
10,5.067241914132062,7.179497663597712,1.6550979469963802,4.417297805297047,5.03159259883269,0,0,0,0,0,0,0,0,0,18.337629333138466,23.068193435668945,23.068193435668945,23.068193435668945,23.068193435668945
