"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm","beyond_5", "beyond_6", "beyond_7", "beyond_8", "beyond_9"
1,8.998750698566436,9.273282745079568,11.88155781594268,10.577420280511125,2.7426401760144126,0,0,0,0,0,0,0,0,0,14.526295244693756,15.37063992023468,15.37063992023468,0,0
2,7.312284133263996,8.832479742915496,11.401974652000142,10.117227197457819,2.9364995585838516,0,0,0,0,0,0,0,0,0,14.522841771443685,15.176305294036865,15.353780746459961,0,0
3,7.146341782349807,7.337619024072581,8.655367115130261,7.9964930696014225,3.7347677276383044,0,0,0,0,0,0,0,0,0,14.499119758605957,14.499119758605957,0,0,0
4,6.430995697324926,7.66530580512963,8.494014097338734,8.079659951234184,4.087604808663888,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6.688546852632002,7.211854540329305,6.672219219932301,6.942036880130803,3.8611020615003864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.888497489194076,7.258438876978276,8.607276919678542,7.932857898328408,4.221853015978345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7.944338887929916,7.232388687122633,11.730304441902087,9.481346564512359,3.8416445958022885,0,0,0,0,0,0,0,0,0,14.560441017150879,14.560441017150879,0,0,0
8,6.6241960158714885,8.74846847394591,8.98715705762441,8.867812765785162,3.375062886983907,0,0,0,0,0,0,0,0,0,13.882013320922852,0,0,0,0
9,6.924282842315733,7.220398099978984,9.981638669009419,8.601018384494202,4.566726159291922,0,0,0,0,0,0,0,0,0,13.785571575164795,0,0,0,0
10,6.989255438558757,7.194292516191729,9.443178509069437,8.318735512630582,3.6093461634587136,0,0,0,0,0,0,0,0,0,14.346068859100342,14.722281455993652,0,0,0
