"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm","beyond_5", "beyond_6", "beyond_7", "beyond_8", "beyond_9"
1,6.650128213798299,7.834065124711019,4.26413390416679,6.049099514438907,3.546977140698764,0,0,0,0,0,0,0,0,0,15.53308391571045,15.53308391571045,15.53308391571045,0,0
2,6.0490468222914,7.327682560492645,2.480592600759977,4.904137580626313,4.508828533379392,0,0,0,0,0,0,0,0,0,16.157111543230712,16.157111543230712,17.398794174194336,17.398794174194336,17.398794174194336
3,5.623071271926165,7.182544813517197,4.201611209765544,5.692078011641371,3.934816359925638,0,0,0,0,0,0,0,0,0,13.918180783589682,14.736440658569336,0,0,0
4,5.523068489681464,7.168237832865248,1.6637303952496678,4.415984114057458,3.8757925570245404,0,0,0,0,0,0,0,0,0,14.726997057596842,15.351093769073486,16.00334358215332,16.00334358215332,0
5,5.762031770804349,7.251995436845463,1.293471650791445,4.272733543818453,3.8282388073354845,0,0,0,0,0,0,0,0,0,20.633991718292236,20.633991718292236,20.633991718292236,25.598928451538086,25.598928451538086
6,4.9195143520832065,7.182511894569882,2.8902875808400914,5.036399737704986,4.0543400626724155,0,0,0,0,0,0,0,0,0,14.983217239379883,14.983217239379883,0,0,0
7,5.092754099518061,7.669837276751463,2.6194501536223758,5.144643715186919,4.488841847511351,0,0,0,0,0,0,0,0,0,16.199480056762695,16.199480056762695,16.199480056762695,16.199480056762695,0
8,5.8161440789699554,7.1595127847194435,2.380327905734865,4.769920345227154,3.8047705146732387,0,0,0,0,0,0,0,0,0,14.427939414978027,14.427939414978027,0,0,0
9,5.63381278415521,7.150174585674668,1.2372033573059567,4.193688971490314,3.8284681542583896,0,0,0,0,0,0,0,0,0,14.739127477010092,14.739127477010092,15.075214385986328,0,0
10,5.958348419736414,7.360405709308703,3.0768436414958424,5.218624675402273,4.140486093228337,0,0,0,0,0,0,0,0,0,17.500150601069134,19.682998061180115,19.682998061180115,19.682998061180115,23.26332664489746
