"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm","beyond_5", "beyond_6", "beyond_7", "beyond_8", "beyond_9"
0,8.075871443748474,9.618394740641405,10.156474421490808,9.887434581066106,0.9007972875261026,11.408456802368164,7.384943604469299,1.014011263847351,9.699117988348007,9.521533012390137,0.7660293592995198,0.0756532021602765,1.1506017494186627,2.553425435637665,15.022837281227112,15.022837281227112,15.022837281227112,0,0
1,6.539721020630428,9.08725560428648,9.328841729279402,9.20804866678294,0.6648731162469584,0,0,0,0,0,0,0,0,0,13.793218612670898,14.427589416503906,0,0,0
2,6.2974813763911905,7.473570096072888,6.939519366383255,7.20654473122807,0.668136298052024,0,0,0,0,0,0,0,0,0,13.978421688079834,0,0,0,0
3,5.795565979047255,7.869915262637581,6.766151883964805,7.318033573301192,0.6044528115060276,0,0,0,0,0,0,0,0,0,14.401301383972168,14.401301383972168,0,0,0
4,5.415048778057098,7.324070415513048,4.953013609078609,6.138542012295828,0.5087159581211339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.511477368573348,7.34658246586659,6.6192728987671146,6.982927682316852,0.5444954780694257,9.41307258605957,4.66545844078064,0.6613155603408813,6.23358441889286,8.201979637145996,0.36942891649935683,0.0493393333604397,0.6991315975675008,0.48649456045383416,0,0,0,0,0
6,6.411470532417297,7.322799138205166,10.152630571652614,8.737714854928893,0.6270341514863501,0,0,0,0,0,0,0,0,0,14.45487117767334,14.45487117767334,0,0,0
7,5.546820383805495,8.944034916056705,6.935498124705239,7.939766520380972,0.5705012030308912,11.408456802368164,4.909479349851608,0.873981237411499,5.7411870786121915,6.264963626861572,0.38174355883733996,0.0652058626916144,0.651220043304656,1.6800989354714706,0,0,0,0,0
8,6.095135490254809,7.419948690886016,8.5472758143447,7.983612252615355,0.6445117733874569,0,0,0,0,0,0,0,0,0,13.349873542785645,0,0,0,0
9,5.881108600335817,7.401546016541245,7.454643439477311,7.428094728009277,0.5890604579727773,9.41307258605957,4.961498268693686,1.143528699874878,7.041842114925385,6.848968505859375,0.4042935376801756,0.08531621984106058,0.8299680870722304,1.8367137275043302,15.277080535888672,15.277080535888672,15.277080535888672,0,0
