"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm","beyond_5", "beyond_6", "beyond_7", "beyond_8", "beyond_9"
1,8.075871443748474,9.618394740641405,10.156474421490808,9.887434581066106,3.665519430832375,0,0,0,0,0,0,0,0,0,15.022837281227112,15.022837281227112,15.022837281227112,0,0
2,6.539721020630428,9.08725560428648,9.328841729279402,9.20804866678294,3.7090626712174206,0,0,0,0,0,0,0,0,0,13.793218612670898,14.427589416503906,0,0,0
3,6.2974813763911905,7.473570096072888,6.939519366383255,7.20654473122807,4.58362813359692,0,0,0,0,0,0,0,0,0,13.978421688079834,0,0,0,0
4,5.795565979047255,7.869915262637581,6.766151883964805,7.318033573301192,4.723034526941559,0,0,0,0,0,0,0,0,0,14.401301383972168,14.401301383972168,0,0,0
5,5.415048778057098,7.324070415513048,4.953013609078609,6.138542012295828,5.13460013607529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5.511477368573348,7.34658246586659,6.6192728987671146,6.982927682316852,5.598873136599074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6.411470532417297,7.322799138205166,10.152630571652614,8.737714854928893,5.374512951314907,0,0,0,0,0,0,0,0,0,14.45487117767334,14.45487117767334,0,0,0
8,5.546820383805495,8.944034916056705,6.935498124705239,7.939766520380972,4.4524385190499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6.095135490254809,7.419948690886016,8.5472758143447,7.983612252615355,5.395873511352846,0,0,0,0,0,0,0,0,0,13.349873542785645,0,0,0,0
10,5.881108600335817,7.401546016541245,7.454643439477311,7.428094728009277,4.717493001681654,0,0,0,0,0,0,0,0,0,15.277080535888672,15.277080535888672,15.277080535888672,0,0
