"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm","beyond_5", "beyond_6", "beyond_7", "beyond_8", "beyond_9"
2,5.514989137649536,6.412442616683553,2.798990658157633,4.605716637420593,0.6291439087177627,8.24697208404541,4.158517047762871,10.967418670654297,5.208486457665761,0.4289683997631073,0.3195649459502702,1.486789400395154,0.6622902408584446,0.11503807439564266,0,0,0,0,0
3,5.986614394932985,7.082639373461574,2.708049565638971,4.895344469550272,0.6096962503547428,8.24697208404541,4.737183824181557,9.05385971069336,5.953626322746277,14.963129043579102,0.40364760718436443,1.2273792999752924,0.6201672998118932,1.7398351620596941,14.091983318328857,14.963129043579102,0,0,0
4,7.582985080778599,6.457219914758504,5.264997295752366,5.861108605255436,0.7662409410075169,0,0,0,0,0,0,0,0,0,15.898244539896647,15.898244539896647,16.714430809020996,16.714430809020996,0
5,7.646435625278032,8.590354215007945,5.012882380114599,6.801618297561273,0.7610027485491978,0,0,0,0,0,0,0,0,0,18.124305725097656,18.124305725097656,18.124305725097656,18.124305725097656,18.124305725097656
6,7.6284543218520975,7.199222320098108,3.8057558273353242,5.502489073716717,0.7879204902548351,8.246990203857422,5.386869236826897,14.43096923828125,7.849209970661572,0.2587874233722687,0.43221534728795247,1.9563228819115626,0.8351833228772848,0.06939999981116575,14.881382703781128,14.881382703781128,15.506953716278076,0,0
7,5.235876357555389,6.351761102787331,3.507283105139189,4.9295221039632615,0.5942152599667676,8.24697208404541,5.0207980913775305,None,0,12.454264640808105,0.5858379729040937,None,0,1.8626440376042803,0,0,0,0,0
8,7.343459533061832,6.73408149447199,4.415105882623927,5.574593688547958,0.6420509689588575,0,0,0,0,0,0,0,0,0,17.157997174188495,17.157997174188495,18.04721933354934,19.37919768318534,19.37919768318534
9,6.6424589521355095,6.400128402626211,2.2749608234686884,4.3375446130474495,0.7613619636436794,0,0,0,0,0,0,0,0,0,13.911507606506348,0,0,0,0
10,7.506207858522733,6.536112869985353,3.9398858754550967,5.237999372720226,0.7402711337115463,8.24697208404541,5.184473976492882,9.8690767288208,8.193241462111473,0.4918137490749359,0.3484078975816698,1.3378935474906848,0.8512271765568475,0.13189154885564194,17.737143993377686,21.566139221191406,21.566139221191406,21.566139221191406,21.566139221191406
11,5.32658342104953,6.403764942897493,1.8369551247817737,4.120360033839632,0.5774052741481112,8.24697208404541,3.574136485438794,8.593539237976074,5.584072440862656,12.45598030090332,0.28467224710576133,1.164976320735318,0.6516054825409563,2.0024923639250676,0,0,0,0,0
12,6.076888846466318,6.339224815804917,1.4013578449088488,3.870291330356883,0.6341231024528524,0,0,0,0,0,0,0,0,0,15.509966214497885,15.509966214497885,16.0637788772583,16.0637788772583,0
13,6.727029525736968,6.4096760499261825,1.8310347969946041,4.120355423460395,0.6965821377323788,0,0,0,0,0,0,0,0,0,18.077649116516113,18.077649116516113,22.078529357910156,22.078529357910156,22.078529357910156
14,5.497662076992648,6.323974690639008,3.2511751905917556,4.7875749406153805,0.5674248748664643,8.246990203857422,5.28617529800305,None,0,0.412386029958725,0.556342262001693,None,0,0.1105911177147635,15.230693817138672,15.230693817138672,15.230693817138672,0,0
15,6.260892069339752,6.375402698115064,2.2112767260473962,4.293339712081231,0.7225384107432787,8.24697208404541,3.8937916606664658,9.823898315429688,6.696371555328369,13.929986000061035,0.3047292835199312,1.3317689717656505,0.8417658640510667,2.239461681926582,13.929986000061035,0,0,0,0
16,5.95376336760819,7.095903908815893,3.6948131548462166,5.395358531831054,0.6177161233324304,0,0,0,0,0,0,0,0,0,15.362815856933594,15.362815856933594,15.362815856933594,0,0
