"sentence_id","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm","beyond_5", "beyond_6", "beyond_7", "beyond_8", "beyond_9"
2,5.875642379124959,11.222629295377034,4.883667984884503,8.053148640130768,0.6157078464996173,11.0442476272583,9.549389600753784,0.546919047832489,5.196822155267,3.7823092937469482,0.9521952171693363,0.07414264628807533,0.5483594443126902,1.014316155133283,15.82498288154602,15.82498288154602,15.82498288154602,16.291297435760498,0
3,6.553258928159873,9.344170205589624,6.515167644438552,7.929668925014087,0.7278840560875973,11.044261932373047,6.144985927776857,None,0,5.8311920166015625,0.6826565196520047,None,0,0.3756836700668034,0,0,0,0,0
4,6.296532459055575,9.737130757838086,6.311516927722676,8.02432384278038,0.6742552621301576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5.369940756820142,9.75051331579848,3.9288182633150006,6.839665789556742,0.56718620971999,0,0,0,0,0,0,0,0,0,14.903446912765503,14.903446912765503,0,0,0
6,6.0295356171471735,9.172660584884563,7.757968722756114,8.465314653820336,0.6687407378682592,11.044261932373047,5.6437874390528755,None,0,6.683156967163086,0.625921797944347,None,0,1.7922474215136477,13.173716068267822,0,0,0,0
7,5.325554270829473,7.147360986090524,6.905774542540371,7.026567764315448,0.6219506321243833,8.475226402282715,6.309651732444763,4.803231239318848,4.505086902529001,4.1671977043151855,0.5420104875003819,0.6511462276328054,0.6446163794136854,0.3496240663850834,13.099081993103027,0,0,0,0
8,5.952985612551371,7.704450408638801,7.4054570828655155,7.554953745752158,0.6995869030259904,0,0,0,0,0,0,0,0,0,13.49368953704834,0,0,0,0
9,7.30296220949718,12.289224795586788,5.773522304092685,9.031373549839737,0.686629951029878,0,0,0,0,0,0,0,0,0,16.34088961283366,17.68400478363037,17.68400478363037,19.697080612182617,19.697080612182617
10,8.052737070963932,11.228108929537495,7.542625440107638,9.385367184822565,0.8452660087632469,11.044261932373047,9.549367904663086,0.5469266176223755,8.055786207318306,7.503767967224121,0.9521927778793752,0.07414367248062842,0.8540436438655423,2.012313769820507,15.762017250061035,15.762017250061035,15.762017250061035,16.460941314697266,0
11,7.1116642860265875,12.265270942992915,5.207479024799072,8.736374983895995,0.6616157797633265,11.044261932373047,19.697080612182617,5.04904842376709,5.666124475002289,0,1.0975674278727459,0.3766986568482337,0.5901352095323148,0,17.289085865020752,17.289085865020752,19.697080612182617,19.697080612182617,19.697080612182617
12,6.000510810929186,11.939169432590043,4.581954602353355,8.260562017471694,0.6711914522764582,0,0,0,0,0,0,0,0,0,18.317628860473633,18.317628860473633,18.317628860473633,18.317628860473633,18.317628860473633
13,7.182642478209275,12.273342094693819,6.484956337045485,9.379149215869651,0.6836917255312221,0,0,0,0,0,0,0,0,0,15.89495849609375,18.31774139404297,18.31774139404297,18.31774139404297,18.31774139404297
14,7.9046692337308615,7.180076769731735,10.51350136422304,8.846789066977388,0.9001959951786264,8.475223541259766,5.931501537561417,6.963033199310303,8.93763829767704,13.735058784484863,0.5458906043841654,0.9439380647548947,1.0930067575303584,3.683382540883341,14.257481257120768,14.51869249343872,0,0,0
15,6.964091102866566,10.07117661614447,7.081166524114754,8.576171570129612,0.8023213630903925,11.0442476272583,8.053640762964884,0.363338440656662,6.9017533659935,2.0532031059265137,0.8133749487993375,0.04925568709890428,0.82705810577891,0.5506152242901239,13.999245643615723,0,0,0,0
16,7.160361371934414,10.075702582556163,5.897645819254517,7.986674200905338,0.7461649154989057,0,0,0,0,0,0,0,0,0,18.40289306640625,18.40289306640625,18.40289306640625,18.40289306640625,18.40289306640625
